episode,return
1,-878.8782039546013
2,-909.7993732775909
3,-1209.8331700572778
4,-1341.8816476574702
5,-1627.6699949209667
6,-1213.9037067993788
7,-958.4860452470316
8,-993.4348608164099
9,-1158.5365539031413
10,-1313.1610604679895
11,-1376.0372660909043
12,-1502.5064922283166
13,-1178.8713281193004
14,-1536.9316588912325
15,-1369.886800367775
16,-1193.8762656041988
17,-903.2769422721898
18,-1424.0924952916607
19,-781.7299762690654
20,-957.7562547182531
21,-1145.8894922259628
22,-1154.719703680387
23,-1097.6667846454336
24,-1067.8363033175794
25,-1054.2064600891954
26,-1174.708434742344
27,-988.7105562899525
28,-986.1615358588278
29,-1434.7369503054254
30,-1733.303898279366
31,-1191.8733678100957
32,-1536.4697169361882
33,-1306.9141503126523
34,-849.9213403353808
35,-1613.4130638056422
36,-1281.7505623550705
37,-1453.5818551843772
38,-952.8835626190944
39,-1140.5997673617496
40,-811.4808106848697
41,-1145.5231360864132
42,-1459.4983169512257
43,-1185.8121472534644
44,-1067.495350836437
45,-1199.5979116483584
46,-937.0677658945524
47,-1679.2781295628647
48,-1357.6745242170246
49,-960.3685033110577
50,-1038.7209859886577
